STATIONS_ID,datetime,  QN,diffuse_radiation_J_cm2,global_radiation_J_cm2,sunshine_duration_min,longwave_radiation_J_cm2,eor,GHI_W_m2,DHI_W_m2
2559,2025-03-14 19:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 19:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 20:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 21:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 22:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 23:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 00:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 01:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 01:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 01:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-15 01:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
